año,tipo,partido,score_list,extremo,sector_politico,sector,votos,representacion
2021,Constituyente,"A Pulso, Por El Buen Vivir (D27)",2,3,2,Left,5043,0
2017,Consejero Regional,Independientes,1,4,1,Far Left,33835,0
2017,Consejero Regional,Union Patriotica,0.5,4.5,0.5,Far Left,22936,0
2004,Alcalde,Independientes,7,2,7,Center-Right,332757,0
2004,Concejal,Independientes,7,2,7,Center-Right,231456,0
2005,Diputado,Independientes,7,2,7,Center-Right,148063,1
2008,Alcalde,Independientes,7,2,7,Center-Right,469670,0
2008,Concejal,Independientes,7,2,7,Center-Right,294567,0
2013,Diputado,Independientes,7,2,7,Center-Right,146402,1
2013,Consejero Regional,Independientes Lista J,7,2,7,Center-Right,247108,0
2004,Concejal,Renovacion Nacional,7,1.5,6.5,Center-Right,923655,0
2004,Alcalde,Renovacion Nacional,7,1.5,6.5,Center-Right,881816,0
2005,Diputado,Renovacion Nacional,7,1.5,6.5,Center-Right,932422,1
2008,Concejal,Renovacion Nacional,7,1.5,6.5,Center-Right,980189,0
2008,Alcalde,Renovacion Nacional,7,1.5,6.5,Center-Right,841431,0
2013,Diputado,Renovacion Nacional,7,1.5,6.5,Center-Right,928037,1
2013,Consejero Regional,Renovacion Nacional,7,1.5,6.5,Center-Right,811932,0
2004,Alcalde,Union Democrata Independiente,7,3,8,Right,1228808,0
2004,Concejal,Union Democrata Independiente,7,3,8,Right,1151703,0
2005,Diputado,Union Democrata Independiente,7,3,8,Right,1475901,1
2008,Alcalde,Union Democrata Independiente,7,3,8,Right,1275653,0
2008,Concejal,Union Democrata Independiente,7,3,8,Right,919765,0
2013,Diputado,Union Democrata Independiente,7,3,8,Right,1179342,1
2013,Consejero Regional,Union Democrata Independiente,7,3,8,Right,825040,0
1989,Diputado,Avanzada Nacional,6,1,6,Center-Right,57574,1
1989,Diputado,Democracia Radical,6,1,6,Center-Right,28575,1
1989,Diputado,Independientes,6,1,6,Center-Right,91793,1
2000,Municipal,Independientes,7,2,7,Center-Right,559739,0
2001,Diputado,Independientes,7,2,7,Center-Right,327121,1
2000,Municipal,Renovacion Nacional,7,1.5,6.5,Center-Right,1013016,0
2001,Diputado,Renovacion Nacional,7,1.5,6.5,Center-Right,845865,1
2000,Municipal,Union Democrata Independiente,7,4,9,Far Right,1040349,0
2001,Diputado,Union Democrata Independiente,7,4,9,Far Right,1547209,1
2016,Concejal,Independientes,3,2,3,Left,54489,0
2016,Alcalde,Independientes,3,2,3,Left,5983,0
2016,Concejal,Movimiento Independiente Regionalista Agrario Y Social,3,2,3,Left,12205,0
2016,Alcalde,Movimiento Independiente Regionalista Agrario Y Social,3,2,3,Left,9076,0
2016,Concejal,Partido Humanista,3,2,3,Left,38599,0
2016,Alcalde,Partido Humanista,3,2,3,Left,12840,0
2016,Alcalde,Partido Liberal De Chile,3,2,3,Left,11602,0
2016,Concejal,Partido Liberal De Chile,3,2,3,Left,3318,0
1993,Diputado,Comunista De Chile,1,4,1,Far Left,336034,1
1993,Diputado,Independientes,3,2,3,Left,87817,1
1993,Diputado,Movimiento De Accion Popular U,3,2,3,Left,6644,1
2021,Senador,Comunes,3,2,3,Left,114453,1
2021,Diputado,Comunes,3,2,3,Left,103197,1
2021,Constituyente,Comunes,3,2,3,Left,50929,0
2021,Diputado,Convergencia Social,3,2,3,Left,202415,1
2021,Constituyente,Convergencia Social,3,2,3,Left,84551,0
2021,Senador,Convergencia Social,3,2,3,Left,15929,1
2021,Senador,Federacion Regionalista Verde Social,3,2,3,Left,172485,1
2021,Diputado,Federacion Regionalista Verde Social,3,2,3,Left,55809,1
2021,Constituyente,Federacion Regionalista Verde Social,3,2,3,Left,29703,0
2021,Constituyente,Igualdad,3,2,3,Left,10670,0
2021,Diputado,Independiente Comunes,3,2,3,Left,104869,1
2021,Senador,Independiente Comunes,3,2,3,Left,57772,1
2021,Diputado,Independiente Convergencia Social,3,2,3,Left,84949,1
2021,Senador,Independiente Convergencia Social,3,2,3,Left,43579,1
2021,Diputado,Independiente Federacion Regionalista Verde Social,3,2,3,Left,51834,1
2021,Senador,Independiente Federacion Regionalista Verde Social,3,2,3,Left,15828,1
2021,Diputado,Independiente Partido Comunista De Chile,3,4,1,Far Left,46822,1
2021,Senador,Independiente Partido Comunista De Chile,3,4,1,Far Left,15766,1
2021,Diputado,Independiente Revolucion Democratica,3,2,3,Left,64967,1
2021,Constituyente,Independientes,3,2,3,Left,611651,0
2021,Diputado,Partido Comunista De Chile,3,4,1,Far Left,418887,1
2021,Senador,Partido Comunista De Chile,3,4,1,Far Left,320309,1
2021,Constituyente,Partido Comunista De Chile,3,4,1,Far Left,207563,0
2021,Diputado,Revolucion Democratica,3,2,3,Left,193171,1
2021,Senador,Revolucion Democratica,3,2,3,Left,156249,1
2021,Constituyente,Revolucion Democratica,3,2,3,Left,76587,0
2021,Constituyente,Arica Siempre Arica (D1),2,3,2,Left,4571,0
2021,Constituyente,Asamblea Constituyente Atacama,2,3,2,Left,18424,0
2021,Constituyente,Asamblea Popular Constituyente (D20),2,3,2,Left,35763,0
2021,Constituyente,Asamblea Popular Por La Dignidad (D17),2,3,2,Left,33569,0
2021,Constituyente,Autonomia Social Y Sindical Tarapaca (D2),2,3,2,Left,3448,0
2021,Constituyente,Biobio Sin Partidos (D21),2,3,2,Left,24521,0
2021,Constituyente,Cabildo Autoconvocado (D2),2,3,2,Left,2084,0
2016,Concejal,Independientes,3,2,3,Left,23758,0
2016,Alcalde,Independientes,3,2,3,Left,7475,0
2016,Concejal,Revolucion Democratica,3,2,3,Left,38838,0
2016,Alcalde,Revolucion Democratica,3,2,3,Left,11915,0
2021,Consejero Regional,Independientes,3,2,3,Left,133290,0
2021,Consejero Regional,Partido Progresista De Chile,3.25,1.75,3.25,Left,26060,0
2021,Consejero Regional,Partido Radical De Chile,3,2,3,Left,95582,0
2000,Municipal,Independientes,7,2,7,Center-Right,68154,0
2000,Municipal,Union De Centro Centro,7,2,7,Center-Right,10594,0
1997,Diputado,Independientes,7,2,7,Center-Right,55100,1
1997,Diputado,Union De Centro Centro Progres,7,2,7,Center-Right,68822,1
2021,Concejal,Federacion Regionalista Verde Social,2,3,2,Left,87815,0
2021,Alcalde,Federacion Regionalista Verde Social,2,3,2,Left,25242,0
2021,Concejal,Independientes,2,3,2,Left,226783,0
2021,Alcalde,Independientes,2,3,2,Left,63631,0
2021,Concejal,Partido Comunista De Chile,2,4,1,Far Left,446281,0
2021,Alcalde,Partido Comunista De Chile,2,4,1,Far Left,331961,0
2012,Concejal,Chileprimero,6,1,6,Center-Right,1478,0
