Country,Year,GDP_Growth_Percent,Gini_Index,Access_to_Water_Percent,Tax_Revenue_Percent_GDP,Women_in_Workforce_Percent,Employment_Percent,Left_President
Argentina,1990,-6.56,43.48,79.13,30.98,37.13,37.87342831,0
Argentina,1991,0.05,58.28,89.02,31.68,58.21,49.8234714,1
Argentina,1992,5.02,50.99,99.04,34.86,43.55,61.33537708,1
Argentina,1993,-8.58,38.78,74.57,20.44,33.94,35.88605971,1
Argentina,1994,2.08,41.48,96.86,34.19,46.41,53.69169325,0
Argentina,1995,-4.5,47.77,96.9,20.17,46.56,40.53172609,1
Argentina,1996,-4.57,43.66,82.05,16.21,45.18,44.01842563,0
Argentina,1997,-3.79,41.19,85.75,28.76,40.01,43.95486946,1
Argentina,1998,8.48,55.87,71.46,16.34,43.38,66.02105123,0
Argentina,1999,-7.91,40.45,92.2,27.01,48.67,35.26512009,0
Argentina,2000,4.21,36.15,80.25,26.91,56.38,57.49316461,0
Argentina,2001,0.87,38.48,70.91,27.76,30.24,50.80854049,0
Argentina,2002,-2.55,45.92,97.66,12.24,42.18,45.38392454,1
Argentina,2003,-9.51,40.28,88.67,16.98,36.29,27.15343951,1
Argentina,2004,-7.69,47.31,90.86,26.8,58.47,31.17016433,0
Argentina,2005,-9.95,49.42,88.01,24.72,58.88,28.97542494,1
Argentina,2006,-9.66,50.89,94.41,22.75,40.02,28.65433776,0
Argentina,2007,5.82,32.92,83.26,23,50.82,62.26849467,1
Argentina,2008,-8.18,36.83,82.31,25.58,56.61,31.82395185,1
Argentina,2009,2.38,34,99.42,31.79,45.08,51.9353926,1
Argentina,2010,8.45,46.24,97.7,30.75,59.05,69.83129754,0
Argentina,2011,8.4,31.08,75.24,19.73,58.56,66.3484474,1
Argentina,2012,-4,34.81,96.59,21.16,57.24,42.13505641,1
Argentina,2013,-6.8,49.83,83.21,11.91,50.89,33.55050363,0
Argentina,2014,-5.05,31.19,71.8,11.53,57.23,38.81123455,0
Argentina,2015,4.8,56.94,90.18,23.22,39.13,59.82184518,1
Argentina,2016,9.96,40.87,84.12,19.46,59.39,67.61801285,1
Argentina,2017,-6.51,39.84,90.41,11.58,48.22,37.73139604,1
Argentina,2018,-0.45,38.52,77.15,22.86,41.04,47.89872262,1
Argentina,2019,-0.87,40.12,99.11,13.34,32.9,47.6766125,1
Argentina,2020,-3.13,47.73,89.78,19.93,59.98,42.53658678,0
Bolivia,1990,2.4,48.52,99.56,32.18,52.95,58.50455637,0
Bolivia,1991,-3.73,40.97,76.04,22.18,59.71,42.51300555,0
Bolivia,1992,8.24,33.55,70.76,32.47,46.12,64.36457814,1
Bolivia,1993,-6,50.21,89.33,13.05,37.79,39.64508982,0
Bolivia,1994,-8.8,36.3,73.97,14.83,50.56,29.9583127,1
Bolivia,1995,-9.01,33.06,74.03,17.91,38.96,32.39772719,1
Bolivia,1996,-4.9,52.52,99.94,23.35,58.33,36.28065975,1
Bolivia,1997,-2.07,33.2,82.26,17.4,44.8,43.2036279,0
Bolivia,1998,3.14,43.83,98.05,32.12,51.06,56.67372247,1
Bolivia,1999,-0.21,33.95,81.91,27.61,38.55,51.05693316,0
Bolivia,2000,-7.92,57.24,91.27,25.38,53.77,34.50273656,1
Bolivia,2001,6.71,44.5,96.44,32.91,38.15,63.18870344,0
Bolivia,2002,2.15,45.8,86.14,33.44,39.16,53.69779261,0
Bolivia,2003,9.67,57.06,83.76,30.44,53.07,66.38295602,1
Bolivia,2004,3.56,39.6,75.89,26.79,55.29,55.68031158,0
Bolivia,2005,-9.67,49.28,83.29,32.45,39.64,29.73872246,0
Bolivia,2006,-0.52,45.44,74.21,27.82,54.91,51.07424445,1
Bolivia,2007,-8.84,38.74,71.14,33.91,50.02,33.00723658,1
Bolivia,2008,9.28,45.94,94.06,19.36,40.61,65.03391969,1
Bolivia,2009,-2.43,49.74,80.78,32.51,59.5,45.78816794,1
Bolivia,2010,-9.39,35.81,73.37,11.06,36.83,30.44983544,1
Bolivia,2011,-1.06,55.11,76.65,22.35,57.89,46.526156,0
Bolivia,2012,3.34,53.94,86.53,34.51,47.66,57.90335258,0
Bolivia,2013,-9.09,35.94,82.14,25.03,53.16,33.88199904,0
Bolivia,2014,-1.74,51.3,93.7,17.93,59.38,48.38256024,1
Bolivia,2015,2.99,56.43,86.68,28.54,53.12,54.30156495,1
Bolivia,2016,8.16,34.51,86.75,20.71,57.69,65.70157525,0
Bolivia,2017,-7.9,59.48,96.26,11.85,44.73,34.86252686,0
Bolivia,2018,4.35,52.14,97.19,30,39.33,60.65109025,1
Bolivia,2019,-0.03,51.05,74.15,14.85,44.43,48.98165152,0
Bolivia,2020,-4.04,55.88,87.59,18.72,55.46,41.54868205,1
Brazil,1990,0.98,51.46,88.08,23.62,42.71,49.74733005,1
Brazil,1991,2.92,43.13,96.75,34.09,41.5,53.44758675,1
Brazil,1992,5.83,45.87,87.04,33.14,32.13,63.28505164,0
Brazil,1993,-8.26,30.61,94.98,29.45,56.1,36.19248006,1
Brazil,1994,9.57,53.97,83.84,29.51,33.55,68.99597976,1
Brazil,1995,2.8,34.3,98.34,23.05,42.44,57.6070658,1
Brazil,1996,-4.71,53.23,83.68,24.21,30.56,41.30327205,1
Brazil,1997,2.35,48.36,88.51,33.59,50.45,53.40976049,1
Brazil,1998,-2.81,43.11,90.93,11.51,50,45.10279121,1
Brazil,1999,3.41,36.31,73.87,17.89,40.91,59.89607313,0
Brazil,2000,1.4,43.16,99.65,12.55,36.27,52.72834792,1
Brazil,2001,-6.77,49.59,77.6,21.66,37.33,39.58928731,1
Brazil,2002,-6.82,33.31,89.69,13.45,35.9,31.12050979,0
Brazil,2003,-2.63,54.63,72.91,30.95,32.88,46.38380501,1
Brazil,2004,9.53,44.06,99.3,25.12,52.18,69.23409414,1
Brazil,2005,-9.22,38.48,73.61,17.4,33.56,30.9619853,1
Brazil,2006,-3.64,42.43,71.92,27.31,47,42.90352155,0
Brazil,2007,-4.69,45.7,72.82,24.4,57.88,36.64486217,0
Brazil,2008,-3.63,50.02,73.95,27.91,38.68,42.30065622,1
Brazil,2009,-6.34,47.6,70.6,30.72,30.14,38.03422514,1
Brazil,2010,3.56,38.1,92.06,34.05,37.46,60.07578809,0
Brazil,2011,1.52,47.76,87.17,15.58,58.58,52.00345956,1
Brazil,2012,-1.06,55.39,90.98,17.44,54.41,46.26301279,1
Brazil,2013,-2.07,56.43,87.44,32.04,50.78,44.85648591,1
