eleccion,coord1D_normal_all,sexo,edad,experiencia
Escaños Reservados,0.551328957,0,45,26
Escaños Reservados,0.94717294,0,67,20
Escaños Reservados,1.473332345,1,39,17
Escaños Reservados,0.552883446,1,29,29
Convencionales Constituyentes,0.678673387,0,37,23
Convencionales Constituyentes,2.926556766,1,64,0
Convencionales Constituyentes,3.372000754,0,34,1
Convencionales Constituyentes,0.884606838,1,30,23
Convencionales Constituyentes,2.430788279,1,36,4
Convencionales Constituyentes,8.781300783,1,52,0
Convencionales Constituyentes,4.535026737,0,41,0
Convencionales Constituyentes,0.737789869,0,59,21
Convencionales Constituyentes,0.732423961,0,55,23
Convencionales Constituyentes,0.950583816,1,30,15
Convencionales Constituyentes,1.09455198,0,33,14
Convencionales Constituyentes,2.32186377,1,58,5
Convencionales Constituyentes,3.624391109,0,36,0
Convencionales Constituyentes,8.79345119,0,49,0
Convencionales Constituyentes,0.96526444,1,41,18
Convencionales Constituyentes,0.466415286,1,43,21
Convencionales Constituyentes,0.700878203,1,47,27
Convencionales Constituyentes,1.081632972,1,63,19
Convencionales Constituyentes,1.325674355,1,51,17
Convencionales Constituyentes,0.571491122,1,28,20
Convencionales Constituyentes,4.337169081,0,52,0
Escaños Reservados,0.82552284,1,48,22
Convencionales Constituyentes,2.310711145,0,58,3
Convencionales Constituyentes,2.682295293,0,56,4
Convencionales Constituyentes,2.792982459,0,32,0
Convencionales Constituyentes,0.575277209,1,46,23
Convencionales Constituyentes,0.508431792,0,32,23
Escaños Reservados,0.458973944,1,53,30
Escaños Reservados,1.071306467,1,53,19
Escaños Reservados,0.32599777,1,41,24
Escaños Reservados,1.367775798,1,33,19
Convencionales Constituyentes,1.033499241,1,52,16
Convencionales Constituyentes,7.454690635,0,49,0
Convencionales Constituyentes,0.586386621,1,33,18
Convencionales Constituyentes,1.798882484,1,36,8
Convencionales Constituyentes,1.991430819,1,30,11
Convencionales Constituyentes,8.630887866,1,46,0
Convencionales Constituyentes,2.942487001,0,32,1
Convencionales Constituyentes,2.972452641,1,47,0
Convencionales Constituyentes,0.452185571,0,31,25
Convencionales Constituyentes,0.481364429,0,37,21
Convencionales Constituyentes,2.451620102,0,41,3
Convencionales Constituyentes,7.117381245,1,34,0
Convencionales Constituyentes,2.062882185,0,25,13
Convencionales Constituyentes,6.334571689,0,50,0
Escaños Reservados,0.823901296,1,51,16
Convencionales Constituyentes,0.800152421,1,60,23
Convencionales Constituyentes,2.573598921,0,75,3
Convencionales Constituyentes,0.863430798,0,30,19
Convencionales Constituyentes,1.550090611,0,74,16
Convencionales Constituyentes,0.92325002,1,31,24
Convencionales Constituyentes,2.577454746,0,54,7
Convencionales Constituyentes,0.539188981,1,36,22
Convencionales Constituyentes,2.19070226,1,54,7
Convencionales Constituyentes,8.884491324,1,29,0
Convencionales Constituyentes,0.984316766,1,35,23
Convencionales Constituyentes,2.472334206,1,50,4
Convencionales Constituyentes,2.293583155,0,55,7
Escaños Reservados,1.146097481,0,37,15
Convencionales Constituyentes,0.600727797,0,31,20
Convencionales Constituyentes,0.523402989,1,30,27
Convencionales Constituyentes,9.198814631,1,39,0
Escaños Reservados,0.566469133,1,64,24
Convencionales Constituyentes,0.851503611,1,34,24
Convencionales Constituyentes,6.737856418,1,33,0
Convencionales Constituyentes,0.658036172,0,37,21
Convencionales Constituyentes,4.24134329,0,70,0
Convencionales Constituyentes,0.736432672,1,36,27
Convencionales Constituyentes,1.564417481,1,65,14
Convencionales Constituyentes,3.314504921,0,33,2
Convencionales Constituyentes,8.511995077,1,67,0
Convencionales Constituyentes,0.788107514,1,58,25
Convencionales Constituyentes,2.835245579,0,24,2
Convencionales Constituyentes,6.92683205,0,43,0
Convencionales Constituyentes,7.128034979,0,33,0
Convencionales Constituyentes,1.82164371,1,40,6
Convencionales Constituyentes,4.451059401,0,44,0
Convencionales Constituyentes,7.002749741,1,60,0
Convencionales Constituyentes,0.531544685,1,29,29
Convencionales Constituyentes,2.196678817,1,38,6
Convencionales Constituyentes,8.634422123,1,65,0
Escaños Reservados,0.553351939,1,41,23
Convencionales Constituyentes,2.787138224,0,49,5
Convencionales Constituyentes,0.701463819,0,65,24
Escaños Reservados,1.134470999,1,39,17
Convencionales Constituyentes,0.951714814,1,21,22
Escaños Reservados,1.27053231,1,58,18
Convencionales Constituyentes,0.499162376,1,35,28
Convencionales Constituyentes,5.006195367,0,48,0
Convencionales Constituyentes,0.431706309,1,49,25
Convencionales Constituyentes,0.942789316,1,41,19
Convencionales Constituyentes,4.179803431,0,67,0
Convencionales Constituyentes,0.888932943,1,39,22
Convencionales Constituyentes,0.839156806,1,41,22
Convencionales Constituyentes,0.498128831,1,45,25
Convencionales Constituyentes,3.321561217,1,34,0
Convencionales Constituyentes,2.852663249,0,34,0
Convencionales Constituyentes,2.874815762,1,40,0
Convencionales Constituyentes,8.512664139,0,81,0
Convencionales Constituyentes,0.943470597,1,29,18
Convencionales Constituyentes,3.206231147,0,30,0
Convencionales Constituyentes,0.850481391,0,48,23
Convencionales Constituyentes,1.998969615,1,56,16
Convencionales Constituyentes,6.992045641,0,58,0
Convencionales Constituyentes,6.696592122,1,51,0
Convencionales Constituyentes,2.506888807,1,38,5
Convencionales Constituyentes,8.973799646,0,78,0
Escaños Reservados,0.998647511,0,54,20
Convencionales Constituyentes,0.897842944,1,36,21
Convencionales Constituyentes,0.852014124,0,44,29
Convencionales Constituyentes,6.669166088,0,52,0
Convencionales Constituyentes,2.230684459,0,41,9
Convencionales Constituyentes,2.759772092,0,32,2
Convencionales Constituyentes,1.916381419,1,31,7
Convencionales Constituyentes,7.293853611,1,48,0
Escaños Reservados,0.51383853,1,36,27
Convencionales Constituyentes,1.989840269,1,40,12
Convencionales Constituyentes,2.110838294,1,50,6
Convencionales Constituyentes,8.535962105,0,39,0
Convencionales Constituyentes,1.044109762,0,38,15
Convencionales Constituyentes,1.835294962,1,35,13
Convencionales Constituyentes,3.747019917,0,47,0
Convencionales Constituyentes,8.664318323,0,54,0
Convencionales Constituyentes,7.438497692,0,68,0
Convencionales Constituyentes,2.492009997,0,51,5
