pais,año,indice_democracia,crecimiento,indice_gini,agua_potable,mujeres_fuerza_laboral,liberalizacion_economica
Brazil,1990,5.43,-8.85,39.13,82.73866401,52.61,1
Brazil,1991,9.98,5.61,54.88,99.7234714,54.83,1
Brazil,1992,6.42,0.18,38.91,87.01252853,51.68,1
Brazil,1993,0.42,4.31,32.24,64.69099452,41.03,0
Brazil,1994,9.93,2.97,49.28,99.33109145,59.11,1
Brazil,1995,5.82,-5.98,50.21,82.84165588,48.25,1
Brazil,1996,6.94,-9.5,30.14,90.96183586,49.2,1
Brazil,1997,5.55,-5.55,47.25,83.7615495,38.76,1
Brazil,1998,9.93,7.97,58.85,98.86044942,42.33,1
Brazil,1999,9.24,-4.08,31.13,98.11621337,45.38,1
Brazil,2000,4.56,4.59,53.01,77.32792891,31,0
Brazil,2001,4.23,0.89,38.81,75.99933287,49.14,0
Brazil,2002,3.04,-7.15,50.8,72.64039395,51.06,0
Brazil,2003,2.64,7.68,31.56,66.72509448,44.87,0
Brazil,2004,5.52,-3.69,37.36,78.65648329,40.58,0
Brazil,2005,4.28,-1.43,31.15,76.00681912,44.45,0
Brazil,2006,9.77,5.24,34.92,97.13181018,57.68,1
Brazil,2007,8.26,-0.08,34.93,93.72779256,45.73,1
Brazil,2008,3.48,-4.62,46.54,72.10571714,49.16,0
Brazil,2009,7.5,-6.36,37.98,87.22554305,31.33,1
Brazil,2010,0.17,4.01,58.58,63.57322332,36.81,0
Brazil,2011,9.84,-3.24,32.88,98.98676234,37.51,1
Brazil,2012,7.55,-5.69,37.67,90.38580867,30.59,1
Brazil,2013,8.91,-1.57,49.94,92.85762499,53.89,1
Brazil,2014,5.84,4.71,40.35,82.30140506,40.84,1
Brazil,2015,3.17,1.82,53.34,72.89987928,39.15,0
Brazil,2016,5.35,-5.76,31.08,79.12228566,43.97,0
Brazil,2017,2.27,-9.21,59.05,69.81859764,36.98,0
Brazil,2018,0.38,-1.68,45.3,60.28317598,47.9,0
Brazil,2019,9.94,5.83,31.7,99.25613106,58.37,1
Brazil,2020,5.86,3.66,51.45,82.26699801,39.58,1
Mexico,1990,2.94,2.21,34.95,75.45982217,47.36,0
Mexico,1991,9.62,6.69,51.2,98.52867255,57.18,1
Mexico,1992,9.1,-4.93,57.6,94.35398637,39.37,1
Mexico,1993,0.58,8.18,53.66,63.93195041,46.43,0
Mexico,1994,1.71,-5.32,52.05,64.37877408,54.56,0
Mexico,1995,4.94,-2.69,37.63,80.1970652,32,1
Mexico,1996,5.85,-3.49,51.94,79.51095062,57.66,0
Mexico,1997,7.46,-2.97,54.66,87.23329691,51.91,1
Mexico,1998,2.48,-6.12,46.2,70.30345166,46.04,0
Mexico,1999,6.53,7.04,45.32,87.63540859,42.41,1
Mexico,2000,8.19,7.01,52.6,93.16119193,48.76,1
Mexico,2001,8.81,7.61,56.97,95.07462119,52.97,1
Mexico,2002,6.51,-5.42,47.06,85.47602731,34.05,1
Mexico,2003,5.78,-6.09,48.93,80.19240436,40.96,0
Mexico,2004,3,-6.25,45.6,70.55629955,55.11,0
Mexico,2005,9.96,7.27,32.53,98.99848174,55.57,1
Mexico,2006,3.36,-9.22,58.68,75.55456542,31.79,0
Mexico,2007,5.6,-6.09,55.32,83.11451842,38.49,1
Mexico,2008,7.19,8.99,32.85,85.28033895,56.38,1
Mexico,2009,8.87,1.04,36.13,96.19480786,53.21,1
Mexico,2010,1.67,-7.64,59.57,65.88981538,54.18,0
Mexico,2011,2.73,2.63,56.56,69.55889421,33.67,0
Mexico,2012,4.57,7.64,58.32,79.51823723,51.04,1
Mexico,2013,5.57,-3.47,35.31,84.36891981,32.93,1
Mexico,2014,2.65,-3.85,57.05,72.45433556,39.38,0
Mexico,2015,6.16,5.23,51.72,82.99558702,59.39,1
Mexico,2016,4.59,-9.7,54.52,77.75670062,35.64,0
Mexico,2017,6.28,9.41,32.03,85.81799326,35.35,1
Mexico,2018,3.84,6.26,49.93,77.31718855,50.37,0
Mexico,2019,3.53,1.36,49.62,73.16401863,50.63,0
Mexico,2020,1.19,2.35,53.36,64.36288465,54.79,0
Colombia,1990,0.45,3.38,58.1,60,30.64,0
Colombia,1991,3.16,-7.98,36.44,70.24550049,53.51,0
Colombia,1992,1.21,-8.75,30,66.43949497,35.98,0
Colombia,1993,9.33,-3.41,32.38,100,46.72,1
Colombia,1994,1.2,-7.03,39.6,64.63030273,54.97,0
Colombia,1995,9.78,-4.44,40.14,100,38.81,1
Colombia,1996,5.49,-6.11,45.79,82.70922992,54.58,1
Colombia,1997,7.07,-2.02,46.97,87.03473542,42.83,1
Colombia,1998,1.74,-4.51,58.12,67.66361368,55.02,0
Colombia,1999,6.92,7.13,52.72,90.79924264,50.65,1
Colombia,2000,3.87,-2.24,40.23,75.4148073,37.15,0
Colombia,2001,9.56,4.23,54.66,100,59.55,1
Colombia,2002,1.23,-0.03,33.11,60,33,0
Colombia,2003,7.43,1.52,56.96,91.41311293,54.46,1
Colombia,2004,1.8,9.94,46.48,67.35563877,36,0
Colombia,2005,6.31,-4.33,52.1,84.67781278,32.61,1
Colombia,2006,9.37,-6.06,45.6,97.73617953,34.46,1
Colombia,2007,1.53,0.93,51.33,62.12315706,40.62,0
Colombia,2008,5.87,-3.92,38.93,83.07118782,52.26,1
Colombia,2009,5.73,3.93,55.73,83.66307168,42.21,1
Colombia,2010,6.29,-2.13,57.73,88.15137485,46.28,1
Colombia,2011,7.3,-5.87,43.02,88.21120279,49.13,1
