izquierda_derecha,sexo,edad,partido,p_votos,magnitud_distrital
1.27053231,1,58,,5.38,1
0.82552284,1,48,,20.7,1
0.458973944,1,53,PC-IND,29.51,1
0.551328957,0,45,,30.44,1
0.553351939,1,41,,32.59,1
0.823901296,1,51,,38.15,1
1.473332345,1,39,,40.03,1
0.94717294,0,67,PPD-IND,43.41,1
1.071306467,1,53,,100,1
0.32599777,1,41,,2.89,2
0.552883446,1,29,,3.44,2
1.146097481,0,37,,12.05,2
1.367775798,1,33,,15.55,2
9.198814631,1,39,RN-IND,2.53,3
8.634422123,1,65,UDI-IND,4.24,3
0.800152421,1,60,IND,4.78,3
2.577454746,0,54,PL-IND,5.68,3
2.310711145,0,58,PS ,5.8,3
8.630887866,1,46,UDI-IND,6.06,3
1.033499241,1,52,PC,6.34,3
1.991430819,1,30,RD-IND,6.89,3
8.664318323,0,54,UDI,7.71,3
7.454690635,0,49,RN,7.79,3
0.897842944,1,36,IND,7.82,3
0.737789869,0,59,PC,8.61,3
8.523701429,0,25,UDI,9.96,3
6.696592122,1,51,EVO,10.41,3
2.787138224,0,49,IND,11.38,3
3.206231147,0,30,PS ,13.12,3
4.451059401,0,44,DC ,14.34,3
8.973799646,0,78,RN,19.35,3
0.732423961,0,55,FRVS,2.54,4
2.32186377,1,58,PS-IND,2.63,4
8.79345119,0,49,UDI,3.5,4
2.942487001,0,32,IND,3.53,4
3.624391109,0,36,PS ,3.75,4
8.884491324,1,29,UDI,3.84,4
1.998969615,1,56,RD-IND,4.24,4
0.788107514,1,58,IND,4.48,4
4.179803431,0,67,PPD-IND,4.5,4
1.134470999,1,39,PS-IND,4.8,4
0.850481391,0,48,PC,4.87,4
2.759772092,0,32,IND,4.87,4
2.835245579,0,24,IND,4.92,4
6.737856418,1,33,RN,5.07,4
8.52538377,0,38,UDI,5.44,4
3.380924463,0,37,PS ,5.49,4
0.998647511,0,54,,5.64,4
0.51383853,1,36,,6.02,4
0.586386621,1,33,IND,6.59,4
0.942789316,1,41,PC-IND,6.6,4
0.701463819,0,65,IND,6.66,4
0.566469133,1,64,,7.17,4
1.09455198,0,33,FRVS,7.59,4
0.851503611,1,34,IND,8.17,4
8.54080379,0,33,UDI-IND,8.29,4
0.678673387,0,37,IND,8.41,4
0.884606838,1,30,IND,8.61,4
0.499162376,1,35,IND,9.61,4
3.314504921,0,33,PS ,9.81,4
2.682295293,0,56,PS ,10.53,4
0.950583816,1,30,IND,10.57,4
2.19070226,1,54,PS ,10.58,4
7.117381245,1,34,RN,10.67,4
0.539188981,1,36,PC,12.32,4
1.564417481,1,65,PS ,12.65,4
0.839156806,1,41,IND,12.71,4
8.781300783,1,52,UDI-IND,1.24,5
1.916381419,1,31,CS-IND,3.32,5
8.511995077,1,67,UDI,3.9,5
2.792982459,0,32,PS ,3.99,5
9.121295214,1,42,UDI,4.09,5
2.874815762,1,40,IND,4.46,5
0.852014124,0,44,IND,4.9,5
2.430788279,1,36,IND,5.19,5
5.006195367,0,48,PPD ,7.05,5
2.852663249,0,34,PR-IND,7.28,5
0.600727797,0,31,IND,8.85,5
0.96526444,1,41,IND,9.42,5
2.230684459,0,41,CS,9.75,5
0.658036172,0,37,IND,10.28,5
9.207320809,0,42,UDI,14.12,5
2.062882185,0,25,IND,0.73,6
2.926556766,1,64,IND,2.7,6
7.002749741,1,60,RN-IND,3.02,6
3.270387203,0,32,PS ,3.03,6
3.418398947,0,51,PL-IND,3.09,6
2.972452641,1,47,IND,3.42,6
4.24134329,0,70,PPD ,3.52,6
6.92683205,0,43,RN,3.55,6
8.721874058,0,38,UDI,3.65,6
