date,eleccion,delta,encuesta,encuestados,metodo,tipo,prob,precision_kast,Kast,precision_boric,Boric,precision sichel,Sichel,precision parisi,Parisi,precision_provoste,Provoste,precision_enriquez,Enriquez,precision_artes,Artes,precision_promedio,nsnr,pregunta
2021-11-05,2021-11-17,12,Activa Research,2352,online,closed,0,6.30,21.70,8.30,17.70,4.80,8.20,5.70,7.30,1.10,10.90,4.10,3.90,0.90,1.90,4.46,19.70,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-11-05,2021-11-17,12,Activa Research,1349,online,closed,1,0.70,27.30,2.30,23.70,1.70,11.30,3.10,9.90,1.50,13.50,3.50,4.50,0.90,1.90,1.96,7.50,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-11-04,2021-11-17,13,Cadem,1010,online,closed,0,3.00,25.00,7.00,19.00,5.00,8.00,3.00,10.00,3.00,9.00,3.00,5.00,1.00,2.00,3.57,22.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-11-04,2021-11-17,13,Cadem,100,online,closed,1,4.00,32.00,2.00,24.00,3.00,10.00,0.00,13.00,0.00,12.00,2.00,6.00,2.00,3.00,1.86,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-11-03,2021-11-17,14,Panel Ciudadano,7613,online,closed,0,3.00,25.00,4.00,22.00,4.00,9.00,3.00,10.00,2.00,10.00,3.00,5.00,1.00,2.00,2.86,17.00,"Si las elecciones presidenciales de primera vuelta fueran el proximo domingo, usted votaría por…"
2021-11-02,2021-11-17,15,Atlas Intel,2266,online,closed,0,3.00,31.00,4.60,21.40,3.80,9.20,2.90,10.10,0.20,12.20,3.80,4.20,1.50,2.50,2.83,6.60,Si las elecciones presidenciales fueran hoy ¿por quién votaría usted? [Primera vuelta] [Intención de voto]
2021-11-02,2021-11-17,15,Atlas Intel,2266,online,closed,1,6.20,34.20,2.30,23.70,2.90,10.10,1.80,11.20,1.50,13.50,3.30,4.70,1.70,2.70,2.81,,Si las elecciones presidenciales fueran hoy ¿por quién votaría usted? [Primera vuelta][Votosválidos]
2021-11-02,2021-11-17,15,Criteria Research,1523,online,closed,1,5.00,23.00,2.00,24.00,5.00,8.00,5.00,8.00,3.00,9.00,2.00,6.00,1.00,2.00,3.29,19.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿por cuál de los/as siguientes candidatos/as votarías?"
2021-11-02,2021-11-17,15,Feedback,2430,online,closed,0,8.00,36.00,4.00,30.00,2.00,11.00,9.00,4.00,3.00,9.00,6.00,2.00,0.00,1.00,4.57,2.00,Por cual de los siguientes candidatos presidenciales votará usted? Votante probable
2021-11-02,2021-11-17,15,Feedback,5064,online,closed,1,11.00,39.00,6.00,32.00,1.00,12.00,8.00,5.00,2.00,10.00,6.00,2.00,1.00,2.00,5.00,,Por cual de los siguientes candidatos presidenciales votará usted?
2021-10-31,2021-11-17,17,Data Influye,1743,online,closed,0,1.00,27.00,6.00,32.00,4.00,9.00,5.00,8.00,1.00,13.00,4.00,4.00,1.00,2.00,3.14,5.00,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile?"
2021-10-31,2021-11-17,17,Data Influye,100,online,closed,1,0.00,28.00,8.00,34.00,3.00,10.00,5.00,8.00,2.00,14.00,4.00,4.00,1.00,2.00,3.29,,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile? No se incluyen personas que declaran que no votarán en primera vuelta."
2021-10-31,2021-11-17,17,Studio Público,1493,online,closed,0,9.90,37.90,1.60,27.60,2.50,10.50,7.10,5.90,0.60,11.40,3.30,4.70,0.90,1.90,3.70,,"Si las elecciones presidenciales fueran este domingo, ¿Por cuál de los siguientes candidatos usted votaría?"
2021-10-29,2021-11-17,19,Activa Research,2027,online,closed,0,5.80,22.20,8.60,17.40,6.10,6.90,5.70,7.30,2.50,9.50,3.20,4.80,0.60,1.60,4.64,22.40,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-29,2021-11-17,19,Activa Research,1110,online,closed,1,1.50,26.50,1.00,25.00,3.90,9.10,2.40,10.60,0.10,12.10,2.90,5.10,1.60,2.60,1.91,8.80,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-29,2021-11-17,19,Cadem,1005,online,closed,0,4.00,24.00,7.00,19.00,5.00,8.00,6.00,7.00,1.00,11.00,4.00,4.00,0.00,1.00,3.86,26.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-29,2021-11-17,19,Cadem,100,online,closed,1,4.00,32.00,0.00,26.00,2.00,11.00,3.00,10.00,3.00,15.00,3.00,5.00,0.00,1.00,2.14,,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-26,2021-11-17,22,La Cosa Nostra,600,online,closed,0,2.00,30.00,10.00,36.00,2.00,11.00,8.00,5.00,2.00,14.00,4.00,4.00,1.00,2.00,4.14,,
2021-10-22,2021-11-17,26,Cadem,1007,online,closed,0,5.00,23.00,6.00,20.00,6.00,7.00,7.00,6.00,0.00,12.00,3.00,5.00,0.00,1.00,3.86,26.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-22,2021-11-17,26,Cadem,100,online,closed,1,3.00,31.00,1.00,27.00,3.00,10.00,5.00,8.00,4.00,16.00,1.00,7.00,0.00,1.00,2.43,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-22,2021-11-17,26,Criteria Research,1118,online,closed,1,0.30,27.70,4.80,30.80,4.90,8.10,5.30,7.70,1.10,10.90,4.50,3.50,1.00,2.00,3.13,,
2021-10-15,2021-11-17,33,Activa Research,1632,online,closed,0,11.70,16.30,4.70,21.30,5.50,7.50,8.00,5.00,1.10,13.10,4.60,3.40,0.60,1.60,5.17,21.60,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-15,2021-11-17,33,Activa Research,901,online,closed,1,7.80,20.20,5.30,31.30,4.10,8.90,6.10,6.90,4.50,16.50,4.30,3.70,1.40,2.40,4.79,9.80,Si las elecciones presidenciales fueran este domingo ¿Por quién votarías?
2021-10-14,2021-11-17,34,Cadem,706,online,closed,0,7.00,21.00,6.00,20.00,6.00,7.00,7.00,6.00,0.00,12.00,4.00,4.00,2.00,3.00,4.57,27.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
2021-10-14,2021-11-17,34,Cadem,100,online,closed,1,1.00,29.00,1.00,27.00,3.00,10.00,5.00,8.00,4.00,16.00,2.00,6.00,3.00,4.00,2.71,0.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas. %"
