name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Eyzaguirre Guzmán, Nicolás",Ricardo Lagos,2000-03-11,2006-03-11,Hacienda,2000-03-11,2006-03-11,2191,47,2000,0,0,0,0,0,0,0
"Larraín Bascuñan, Felipe",Sebastián Piñera,2010-03-11,2014-03-11,Hacienda,2010-03-11,2014-03-11,1461,52,2010,0,1,0,0,0,0,1
"Marfán Lewis, Manuel",Eduardo Frei,1994-03-11,2000-03-11,Hacienda,1999-12-03,2000-03-11,99,46,1999,0,0,0,0,0,0,0
"Velasco Brañes , Andrés",Michelle Bachelet,2006-03-11,2010-03-11,Hacienda,2006-03-11,2010-03-11,1461,45,2006,0,3,1,0,1,1,0
"Figueroa Serrano, Carlos",Eduardo Frei,1994-03-11,2000-03-11,Interior,1994-09-20,1998-08-01,1411,64,1994,0,1,0,0,1,0,0
"Hinzpeter Kirberg, Rodrigo",Sebastián Piñera,2010-03-11,2014-03-11,Interior,2010-03-11,2012-11-05,970,44,2010,0,0,0,0,0,0,0
"Pérez Yoma, Edmundo",Michelle Bachelet,2006-03-11,2010-03-11,Interior,2008-01-08,2010-03-11,793,68,2008,0,2,1,0,0,0,1
"Zaldívar Larraín, Andrés",Michelle Bachelet,2006-03-11,2010-03-11,Interior,2006-03-11,2006-07-14,125,69,2006,0,2,0,1,1,0,0
"Chadwick Piñera, Andrés",Sebastián Piñera,2010-03-11,2014-03-11,Interior y Seguridad Pública,2012-11-05,2014-03-11,491,56,2012,0,3,0,1,1,1,0
"Barría Iroume, María Soledad",Michelle Bachelet,2006-03-11,2010-03-11,Salud,2006-03-11,2008-10-28,962,52,2006,1,0,0,0,0,0,0
"Chadwick Piñera, Andrés",Sebastián Piñera,2010-03-11,2014-03-11,SEGEGOB,2011-07-18,2012-11-05,476,55,2011,0,3,0,1,1,1,0
"Lagos Weber, Ricardo",Michelle Bachelet,2006-03-11,2010-03-11,SEGEGOB,2006-03-11,2007-12-06,635,44,2006,0,0,0,0,0,0,0
"Puccio Huidobro, Osvaldo",Ricardo Lagos,2000-03-11,2006-03-11,SEGEGOB,2005-05-24,2006-03-11,291,52,2005,0,2,0,0,1,1,0
"Tohá Morales, Carolina",Michelle Bachelet,2006-03-11,2010-03-11,SEGEGOB,2009-03-12,2009-12-14,277,43,2009,1,3,0,1,1,1,0
"García Hurtado, Álvaro",Ricardo Lagos,2000-03-11,2006-03-11,SEGPRES,2000-03-11,2002-01-07,667,45,2000,0,2,0,0,1,1,0
"Larroulet Vignau, Cristián",Sebastián Piñera,2010-03-11,2014-03-11,SEGPRES,2010-03-11,2014-03-11,1461,56,2010,0,3,1,0,1,0,1
"Viera-Gallo Quesney, José Antonio",Michelle Bachelet,2006-03-11,2010-03-11,SEGPRES,2007-03-26,2010-03-11,1081,63,2007,0,2,0,1,1,0,0
"Veloso Valenzuela, Paulina",Michelle Bachelet,2006-03-11,2010-03-11,SEGPRES,2006-03-11,2007-03-26,380,49,2006,1,1,1,0,0,0,0
