id,country_year,country_name,country,country_code,year,date,inauguration,time,number,late,dep_as,dep_dm,dep_as_1tier,dep_dm_1tier,upper,dep_sp_reform,dep_elec_regime,dep_sp_form_reform,dep_elec_regime_2,dep_elecsys_id,dep_elec_acc,dep_elec_acc_2,dep_acc_flag,dep_ef,dep_thresh,dep_ballot,dep_term,dep_revocatoria,dep_elect_cycle,dep_reform,dep_acc_reform,dep_reform_const,pres_elec,pres_formula,pres_term,pres_imm_reelec,pres_revocatoria,pres_reform,pres_acc_reform ,pres_reform_const,nv_ls,ns_ls,np_ls,enpv,enps,enc,enpv_bn,enps_bn,enc_bn,totalseats,proximity,p1,p2,pres_power,const_instability,ethnic,e1,e2,pop,econ_cpi,econ_gdp,econ_gini,seatvol,parl_volatility,parl_newparties,parl_withinsv,pres_volatility,pres_newparties,pres_withinsv,v2xps_party,spell_years_dem,spell_period,spell_years_elecc,sqrtr_spellproduct,spell_av
11983,1983Arg,Argentina,ARG,1,1983,10/30/1983,1983,0,1,0,254,10.58,254,10.58,0,1,1,1,1,1,1,1,1,4,0,1,4,0,1,1,1,0,1,1,6,0,0,0,0,,,,,2.69,2.17,2.45,2.63,2.22,2.31,323,,1.00,1.00,33.94,0,,0.2549,0.255,2.90E+07,343.81,3.87512,42.2,,,,,,,,0.783,29,1900 - 1982,23,25.8,1.260869565
11985,1985Arg,Argentina,ARG,1,1985,11/03/1985,1983,2,2,0,254,5.29,254,5.29,0,0,1,0,1,1,2,2,0,4,1,1,4,0,1,0,1,0,0,1,6,0,0,0,0,,,,,2.86,2.15,2.45,3.74,2.52,2.31,300,,0.25,0.33,33.94,0,,0.2549,0.255,3.00E+07,672.18,-7.58668,42.2,4.52,21.05,10.60,10.45,,,,0.842,29,1900 - 1982,23,25.8,1.260869565
11987,1987Arg,Argentina,ARG,1,1987,09/06/1987,1983,4,3,0,254,5.29,254,5.29,0,0,1,0,1,1,3,3,0,4,1,1,4,0,1,0,1,0,0,1,6,0,0,0,0,,,,,2.77,2.09,2.45,3.18,2.51,2.31,300,,0.40,0.33,33.94,0,,0.2549,0.255,3.10E+07,131.33,2.90999,45.28,6.50,23.81,0.43,23.38,,,,0.764,29,1900 - 1982,23,25.8,1.260869565
11989,1989Arg,Argentina,ARG,1,1989,05/14/1989,1983,6,4,0,254,5.29,254,5.29,0,0,1,0,1,1,4,4,0,4,1,1,4,0,1,0,1,0,1,1,6,0,0,0,0,,,,,3.05,2.16,2.94,3.32,2.57,2.94,300,,1.00,1.00,33.94,0,,0.2549,0.255,3.20E+07,3079.81,-7.49619,46.61,11.42,17.63,1.20,16.43,24.66,2.18,22.50,0.764,29,1900 - 1982,23,25.8,1.260869565
11991,1991Arg,Argentina,ARG,1,1991,08/11/1991,1983,8,5,0,254,5.41,254,5.41,0,0,1,0,1,1,5,5,0,4,1,1,4,0,1,0,1,0,0,1,6,0,0,0,0,,,,,2.97,2.21,2.94,3.87,2.74,2.94,300,,0.19,0.33,33.94,0,,0.2549,0.255,3.30E+07,171.67,12.6697,46.61,6.29,17.59,3.61,13.98,24.66,2.18,22.50,0.692,29,1900 - 1982,23,25.8,1.260869565
11993,1993Arg,Argentina,ARG,1,1993,10/03/1993,1983,10,6,0,257,5.29,257,5.29,0,0,1,0,1,1,6,6,0,4,1,1,4,0,1,0,1,0,0,1,6,0,0,0,0,,,,,2.95,2.19,2.94,3.48,2.77,2.94,303,,0.47,0.33,33.94,0,,0.2549,0.255,3.40E+07,10.61,5.90692,44.89,9.42,10.10,3.42,6.68,24.66,2.18,22.50,0.692,29,1900 - 1982,23,25.8,1.260869565
11995,1995Arg,Argentina,ARG,1,1995,05/14/1995,1983,12,7,0,257,5.41,257,5.41,0,0,1,1,2,1,7,1,0,4,1,1,4,0,1,0,1,0,1,2,4,1,0,0,1,,,,,3.15,2.13,2.80,3.42,2.83,2.74,329,,1.00,1.00,69.39,0,,0.2549,0.255,3.50E+07,3.38,-2.84521,48.91,11.28,20.37,0.76,19.61,32.42,31.18,0.60,0.692,29,1900 - 1982,23,25.8,1.260869565
11997,1997Arg,Argentina,ARG,1,1997,10/26/1997,1983,14,8,0,257,5.29,257,5.29,0,0,1,0,2,1,8,2,0,4,1,1,4,0,1,0,1,0,0,2,4,1,0,0,1,,,,,2.76,2.15,2.80,2.82,2.45,2.74,329,,0.09,0.00,69.39,0,,0.2549,0.255,3.60E+07,0.53,8.11105,49.11,14.13,32.42,5.60,26.82,32.42,31.18,0.60,0.685,29,1900 - 1982,23,25.8,1.260869565
11999,1999Arg,Argentina,ARG,1,1999,10/24/1999,1983,16,9,0,257,5.41,257,5.41,0,0,1,0,2,1,9,3,0,4,1,1,4,0,1,0,1,0,1,2,4,1,0,0,1,,,,,2.82,2.25,2.55,2.72,2.36,2.56,329,,1.00,1.00,69.39,0,,0.2549,0.255,3.70E+07,-1.17,-3.38546,49.81,11.40,9.57,1.97,7.60,44.11,10.90,33.30,0.685,29,1900 - 1982,23,25.8,1.260869565
12001,2001Arg,Argentina,ARG,1,2001,10/14/2001,1983,18,10,1,257,5.29,257,5.29,0,0,1,0,2,1,10,4,0,4,1,1,4,0,1,0,1,0,0,2,4,1,0,0,1,,,,,4.01,2.11,2.55,4.68,2.8,2.56,329,,0.14,0.00,69.39,0,,0.2549,0.255,3.70E+07,-1.07,-4.40884,53.36,16.36,40.08,10.24,29.84,44.11,10.90,33.30,0.655,29,1900 - 1982,23,25.8,1.260869565
