country,year,turnout,democracy_index,num_candidates,democracy_spell,compulsory_voting
argentina,1990,56.3,58.73,6,1,0
argentina,1991,53.98,69.84,3,2,0
argentina,1992,41.4,47.8,4,3,0
argentina,1993,48.92,47.14,4,4,0
argentina,1994,51.32,41.03,3,5,0
argentina,1995,50.2,40.04,5,6,0
argentina,1996,52.1,49.17,5,7,0
argentina,1997,51.86,59.99,9,8,0
argentina,1998,51.5,54.61,9,9,0
argentina,1999,56.91,70.92,5,10,0
argentina,2000,61.4,65.71,9,11,0
argentina,2001,58.78,74.02,2,12,0
argentina,2002,51.59,43.25,5,13,0
argentina,2003,58.94,59.27,3,14,0
argentina,2004,55.62,44.88,5,15,0
argentina,2005,51.92,70.5,9,16,0
argentina,2006,44.76,41.72,7,17,0
argentina,2007,57.8,77.77,7,18,0
argentina,2008,55.49,66,3,19,0
argentina,2009,61.86,82.11,5,20,0
argentina,2010,63.31,86.97,7,21,0
argentina,2011,56.5,56.33,7,22,0
argentina,2012,55.67,49.8,2,23,0
argentina,2013,67.54,69.34,2,24,0
argentina,2014,50.25,54.05,5,25,0
argentina,2015,49.03,48.26,2,26,0
argentina,2016,55.42,89.34,9,27,0
argentina,2017,48.2,40.7,4,28,0
argentina,2018,63.32,75.34,4,29,0
argentina,2019,70.5,86.32,3,30,0
argentina,2020,52.11,45.79,8,31,0
bolivia,1990,55.52,44.77,8,1,0
bolivia,1991,57.04,55.55,9,2,0
bolivia,1992,61.57,53.74,4,3,0
bolivia,1993,50.43,63.61,6,4,0
bolivia,1994,56.82,52.8,4,5,0
bolivia,1995,54.78,66.14,8,6,0
bolivia,1996,46.59,50.09,9,7,0
bolivia,1997,66.73,71.82,5,8,0
bolivia,1998,53.95,46.97,8,9,0
bolivia,1999,63.44,60.52,4,10,0
bolivia,2000,65.62,84.02,3,11,0
bolivia,2001,60.38,80.41,2,12,0
bolivia,2002,48.25,50.92,5,13,0
bolivia,2003,57.89,84.63,4,14,0
bolivia,2004,52.75,57.81,7,15,0
bolivia,2005,45.83,45.5,2,16,0
bolivia,2006,47.86,48.23,4,17,0
bolivia,2007,50.34,60.87,6,18,0
bolivia,2008,58.73,52.21,4,19,0
bolivia,2009,43.78,56.16,9,20,0
bolivia,2010,58.63,43.24,3,21,0
bolivia,2011,68.26,88.12,7,22,0
bolivia,2012,57.38,47.4,9,23,0
bolivia,2013,52.14,41.84,2,24,0
bolivia,2014,52.84,41.65,9,25,0
bolivia,2015,64.84,85.41,4,26,0
bolivia,2016,66.77,62.39,7,27,0
bolivia,2017,53.75,52.1,5,28,0
bolivia,2018,51.08,52.11,7,29,0
bolivia,2019,56.37,58.39,5,30,0
bolivia,2020,62.59,80.82,9,31,0
brazil,1990,71.21,81.77,5,1,1
brazil,1991,62.33,82.92,5,2,1
brazil,1992,64.41,73.88,4,3,1
brazil,1993,58.19,57.43,8,4,1
brazil,1994,56.42,48.72,2,5,1
brazil,1995,49.92,81.89,4,6,1
brazil,1996,57.59,57.05,2,7,1
brazil,1997,52.68,74.79,8,8,1
brazil,1998,60.61,73,3,9,1
brazil,1999,57.75,53.04,2,10,1
brazil,2000,58.27,44.66,5,11,1
brazil,2001,55.92,49.44,2,12,1
brazil,2002,56.41,57.46,9,13,1
brazil,2003,58.59,60.23,2,14,1
brazil,2004,65,72.1,4,15,1
brazil,2005,66.8,58.61,2,16,1
brazil,2006,55.87,73.18,6,17,1
brazil,2007,53.6,64.28,4,18,1
brazil,2008,55,72.6,2,19,1
brazil,2009,56.65,58.32,9,20,1
brazil,2010,66.41,82.46,2,21,1
brazil,2011,49.73,65.44,7,22,1
brazil,2012,57.79,53.26,7,23,1
brazil,2013,58.98,64.34,9,24,1
brazil,2014,68.29,71.56,3,25,1
brazil,2015,55.84,73.45,2,26,1
brazil,2016,69.86,49.76,6,27,1
brazil,2017,62.45,78.43,9,28,1
brazil,2018,47.2,48.86,5,29,1
brazil,2019,63.83,84.17,5,30,1
brazil,2020,56.52,40.77,9,31,1
chile,1990,46.53,68.61,5,1,0
chile,1991,54.52,82.65,8,2,0
chile,1992,49.87,53.42,4,3,0
chile,1993,57.6,48.47,2,4,0
chile,1994,59.05,86.5,7,5,0
chile,1995,44.28,44.86,9,6,0
chile,1996,60.23,52.71,3,7,0
chile,1997,63.62,83.87,2,8,0
chile,1998,62.9,54.83,3,9,0
chile,1999,57.06,80.51,2,10,0
chile,2000,51.14,40.26,5,11,0
chile,2001,59.95,79.91,2,12,0
chile,2002,47.7,42.54,4,13,0
chile,2003,46.82,56.9,5,14,0
chile,2004,69.1,73.6,4,15,0
chile,2005,53.76,63.28,8,16,0
chile,2006,53.56,41.94,8,17,0
chile,2007,60.13,58.01,5,18,0
chile,2008,51.74,53.58,5,19,0
chile,2009,56.83,71.14,5,20,0
chile,2010,58.63,60.57,4,21,0
chile,2011,52.63,71.87,5,22,0
chile,2012,51.05,77.2,3,23,0
chile,2013,50.84,41.27,6,24,0
chile,2014,56.74,74.42,2,25,0
chile,2015,46.62,48.66,2,26,0
chile,2016,51.76,44.69,2,27,0
chile,2017,61.21,73.01,6,28,0
chile,2018,71.14,72.86,6,29,0
chile,2019,59.48,70.59,8,30,0
chile,2020,50.72,47.93,7,31,0
