pais,año,desempleo,gini,crecimiento,liberalizacion_economica,gobierno_izquierda
argentina,1990,4.36,41.24,6.41,73.2,0
argentina,1991,14.41,33,0.51,33.37,1
argentina,1992,14.39,51.24,-4.75,96.99,1
argentina,1993,12.02,42,-4.44,97.38,0
argentina,1994,7.31,43.68,4.42,19.97,0
argentina,1995,10.14,55.8,3.16,45.05,1
argentina,1996,7.22,58.47,6.59,80.84,0
argentina,1997,5.35,48.3,5,17.34,0
argentina,1998,10.21,37.76,2.95,31.17,1
argentina,1999,6.35,30.94,5.11,44.98,1
argentina,2000,11.37,56.84,2.17,92.19,1
argentina,2001,10.9,58.84,5.13,74.73,0
argentina,2002,10.5,54.86,-0.72,28.09,1
argentina,2003,11.32,34.96,-4.81,42.34,0
argentina,2004,14.36,35.96,-4.93,81.55,0
argentina,2005,8.85,48.18,6.12,65.11,1
argentina,2006,12.22,55.89,2.48,33.09,1
argentina,2007,7.06,49.98,2.1,27.47,0
argentina,2008,10.74,44.17,-3.56,71.32,0
argentina,2009,15.39,37.68,-4.51,71.07,1
argentina,2010,16.17,30.76,-3.71,3.14,0
argentina,2011,10.46,50.87,-3.33,60.44,0
argentina,2012,12.41,52.67,-2.25,7.7,0
argentina,2013,12.91,48.73,-1.45,10.55,1
argentina,2014,10.5,54.11,-2.76,89.26,0
argentina,2015,5.93,40.69,5.88,27.21,0
argentina,2016,7.3,42.81,4.82,86.07,0
argentina,2017,7.64,44.54,3.31,26.94,1
argentina,2018,9.68,58.29,-1.12,51.88,0
argentina,2019,11,37.62,-2.04,69.63,0
argentina,2020,10.85,39.03,-1.58,3.69,0
bolivia,1990,12.53,30.99,-0.86,63.44,1
bolivia,1991,9.83,34.35,0.87,98.57,1
bolivia,1992,11.51,41.09,-2.09,80.31,0
bolivia,1993,9.27,48.97,2.6,53.58,1
bolivia,1994,10.06,45.25,3.35,85.84,1
bolivia,1995,11.8,50.33,-4.8,51.21,0
bolivia,1996,11.23,58.22,-0.23,51.78,1
bolivia,1997,13.35,34.13,-0.91,11.35,0
bolivia,1998,13.83,36.86,-2.9,98.22,1
bolivia,1999,14.26,45.89,-2.1,9.31,1
bolivia,2000,12.72,35.66,-1.65,70.04,1
bolivia,2001,9.09,56.91,5.65,77.99,1
bolivia,2002,11.97,47.42,-0.53,94.01,0
bolivia,2003,13.57,30.15,-3.07,54.87,1
bolivia,2004,14.35,35.28,-4.78,49.39,1
bolivia,2005,8.95,52.39,2.8,84.92,0
bolivia,2006,7.09,45.26,2.64,25.05,1
bolivia,2007,7.27,59.19,-0.28,89.2,0
bolivia,2008,8.41,49.35,3.03,86.42,1
bolivia,2009,8.3,51.67,-1.63,2.43,0
bolivia,2010,7.25,56.5,3.97,95.31,0
bolivia,2011,5.71,42.85,6.6,96.36,0
bolivia,2012,11.85,35.73,-1.78,48.53,1
bolivia,2013,6.04,46.7,6.23,69.6,1
bolivia,2014,14.46,37.62,-1.46,32.26,1
bolivia,2015,6.94,50.91,3.43,35.95,0
bolivia,2016,6.06,37.69,2.34,8.16,0
bolivia,2017,7.92,45.05,4.58,65,1
bolivia,2018,14.11,56.6,-4.67,57.89,1
bolivia,2019,12.12,47.35,-4.57,46.56,0
bolivia,2020,11.71,31.17,-1.36,53.71,0
brazil,1990,9.27,45.67,4.24,21.58,0
brazil,1991,11.31,35.83,-0.06,69.95,1
brazil,1992,7.31,51.78,6.71,51.63,1
brazil,1993,8.41,43.01,3.93,25.09,1
brazil,1994,4.66,58.88,5.03,69.6,0
brazil,1995,11.17,32.82,-2.81,93.46,0
brazil,1996,7.41,58.65,3.85,55.44,1
brazil,1997,10.88,33.6,-0.9,9.18,0
brazil,1998,7.52,31.22,5.27,70.37,1
brazil,1999,11.47,43.94,2.8,4.81,1
brazil,2000,14.18,49.05,-4.46,37.46,1
brazil,2001,10.71,46.18,3.21,61.59,1
brazil,2002,13.72,49.27,-4.68,58.58,0
brazil,2003,13.62,47.2,-3.46,81.12,0
brazil,2004,10.72,58.24,-0.37,96.12,1
brazil,2005,10.48,36.44,-0.47,3.9,1
brazil,2006,12.3,50.49,-4.15,31.9,1
brazil,2007,12.85,37.82,0.95,69.29,1
brazil,2008,6.76,48.87,5.53,73.51,0
brazil,2009,9.65,42.7,1.82,57.59,0
brazil,2010,12.09,42.38,-0.54,77.64,1
brazil,2011,9.71,37.16,3.16,73.99,0
brazil,2012,5.68,33.09,5.83,50.53,1
brazil,2013,11.35,33,-4.36,95.85,0
brazil,2014,10.19,32.74,-1.17,95.01,1
brazil,2015,8.79,32.5,-3.9,60.24,1
brazil,2016,10.3,50.18,4.03,79.16,0
brazil,2017,8.65,59.06,3.26,83.7,0
brazil,2018,15.22,33.03,-3.99,70.1,1
brazil,2019,10.45,34.4,1.16,23.32,1
brazil,2020,10.61,41.23,-0.55,81.28,0
chile,1990,10.64,40.51,3.5,48.17,1
chile,1991,7.57,46.75,0.09,90.64,0
chile,1992,9.75,42.16,1.86,74.1,1
chile,1993,7.52,33.53,2.79,74.6,0
chile,1994,10.27,44.33,-4.01,52.84,0
chile,1995,12.51,58.9,-4.85,96.99,0
chile,1996,6.23,57.74,6.03,25.3,0
chile,1997,9.39,59.08,1.28,62.94,1
chile,1998,10.2,52.11,5.98,95.87,1
chile,1999,11.91,56.71,0.47,62.01,1
chile,2000,9.79,41.65,-2.25,26.59,0
chile,2001,4.93,59.23,6.83,69.82,0
chile,2002,8.65,48.08,-1.75,13.32,0
chile,2003,6.37,54.68,6.4,72.57,0
chile,2004,13.09,34.95,-0.06,77.76,1
chile,2005,13.65,59.62,-3.19,59.41,0
chile,2006,11.98,47.07,-4.24,3.68,0
chile,2007,15.05,38.2,-4.32,86.47,0
chile,2008,10.62,57.39,2.02,72.61,1
chile,2009,11.45,55.49,-2.03,45.05,1
chile,2010,6.77,36.22,5.54,75.7,1
chile,2011,15.6,40.74,-3.64,67.16,1
chile,2012,8.48,39.23,4.8,96.8,1
chile,2013,12.19,56.3,-0.16,13.4,0
chile,2014,8.12,49.18,4.66,90.32,1
chile,2015,10.67,30.44,-0.79,58.99,1
chile,2016,9.23,51.79,1.57,45.09,0
chile,2017,8.23,41.9,2.47,86.24,0
chile,2018,9.59,55.26,4.23,6.62,0
chile,2019,6.72,59.4,0.91,32.88,0
