id,elección,elección_tipo,región,region2,distrito2,distrito,número_papeleta,electo,coord1D_all,coord2D_all,coord1D_normal_all,coord2D_normal_all,nombre_completo,sexo,edad,profesión,lista,lista_box,partido,militante,directivo,agua,cebra,n_votos,p_votos,magnitud_distrital,votos_servel,porcentaje_servel,votos_servel_ld,p_votos_ld,kast_1v2021,boric_1v2021,borickast_1v2021,jadue_pr2021,electo_noparidad,electo_paridad,paridad_servel,min_patrocinios_indlistas,min_patrocinios_ifp,n_aportes,dinero_aportes,tope_distrito,miembro_voceriadelpueblo,coord1D_mil,coord2D_mil,coord1D_normal_mil,coord2D_normal_mil,coord1D_tresmil,coord2D_tresmil,coord1D_normal_tresmil,coord2D_normal_tresmil
1288,Escaños Reservados,0,Tarapacá,1,,,110,1,-0.889734209,0.456478894,0.551328957,7.282394469,Wilfredo Manuel Bacian Delgado,0,45,Gestor Cultural,,Indigenous Community,,0,0,0,0,632,30.44,1,632,30.44,2072,30.5019305,30.48,18.3,48.78,23.32244812,1,1,0,,,0,0,23350064,0,-0.89204216,0.282697916,0.5397892,6.41348958,-0.932615936,0.36087054,0.336920321,6.804352701
1323,Escaños Reservados,0,Coquimbo,4,,,112,1,-0.810565412,0.149890155,0.94717294,5.749450773,Fernando Del Carmen Tirado Soto,0,67,Buzo,,Indigenous Community,PPD-IND,0,0,0,0,395,43.41,1,395,43.41,900,43.88888889,21.63,25.88,47.51,24.79042156,1,1,0,,,0,0,20096202,0,-0.898611844,0.256849259,0.506940782,6.284246296,-0.738303781,0.160678849,1.308481097,5.803394243
1325,Escaños Reservados,0,Valparaíso,5,,,110,1,-0.705333531,-0.077158436,1.473332345,4.614207819,Tiare Maeva Carolina Aguilera Hey,1,39,Abogada,,Indigenous Community,,0,1,0,0,749,40.03,1,749,40.03,1870,40.05347594,26.69,28.14,54.83,24.80737763,1,1,0,,,0,0,21743372,0,-0.71100235,0.20176129,1.444988251,6.008806452,-0.669296384,-0.18732214,1.653518081,4.063389301
1358,Escaños Reservados,0,Los Ríos,9.5,,,139,1,-0.889423311,0.457084566,0.552883446,7.285422832,Victorino Ernesto Antilef Ñanco (Carmen Tomasa Caifil Caifil),1,29,Profesor,,Indigenous Community,,0,0,0,0,7494,3.44,2,7494,3.44,21844,34.3069035,33.15,23.17,56.32,19.62508237,1,1,1,,,0,0,476036105,0,-0.888392627,0.329558522,0.558036864,6.647792608,-0.92566222,0.378350943,0.371688902,6.891754717
698,Convencionales Constituyentes,1,Metropolitana,5.5,#D13 - San Miguel,13,ZN41,1,-0.864265323,0.503036082,0.678673387,7.515180409,Rodrigo Ernesto Rojas Vade,0,37,Operador de vuelo,La Lista Del Pueblo (D13),Lista del Pueblo,IND,0,1,0,0,19379,8.41,4,19379,8.41,58737,32.99283246,20.77,34.14,54.91,31.67049125,1,1,0,1385,554,0,0,275804726,1,-0.849330664,0.527861178,0.753346682,7.63930589,,,,
153,Convencionales Constituyentes,1,Coquimbo,4,#D5 - La Serena,5,WB1,1,-0.414688647,-0.777165532,2.926556766,1.114172339,Maria Trinidad Castillo Boilet,1,64,Profesora,Independientes Por La Region De Coquimbo (D5),Independent,IND,0,0,0,0,6080,2.7,6,6080,2.7,23800,25.54621849,21.63,25.88,47.51,24.79042156,1,1,0,1285,504,0,0,279095192,0,-0.239814445,-0.970818758,3.800927773,0.14590621,-0.413903207,-0.366271943,2.930483967,3.168640286
1061,Convencionales Constituyentes,1,Araucanía,9,#D23 - Temuco,23,J2,1,-0.325599849,-0.016586009,3.372000754,4.917069953,Helmuth Jacobo Martinez Llancapan,0,34,Abogado,Elige La Lista Del Pueblo (D23),Independent,IND,0,0,0,0,7229,4.46,6,7229,4.46,25617,28.21954171,39.28,18.04,57.32,15.30792815,1,1,0,1262,505,0,0,272684360,0,-0.446971923,-0.026931334,2.765140384,4.865343329,-0.275080413,0.202541009,3.624597937,6.012705043
697,Convencionales Constituyentes,1,Metropolitana,5.5,#D13 - San Miguel,13,ZN40,1,-0.823078632,0.213116467,0.884606838,6.065582335,Ingrid Fernanda Villena Narbona,1,30,Abogada,La Lista Del Pueblo (D13),Lista del Pueblo,IND,0,0,0,0,19847,8.61,4,19847,8.61,58737,33.78960451,20.77,34.14,54.91,31.67049125,1,1,0,1385,554,1,50000,275804726,0,-0.880088627,0.368839771,0.599556863,6.844198853,-0.763358355,0.013957442,1.183208227,5.069787209
734,Convencionales Constituyentes,1,Metropolitana,5.5,#D14 - San Bernardo,14,ZT27,1,-0.513842344,-0.289992571,2.430788279,3.550037146,Paulina Valeria Valenzuela Rio,1,36,Profesora,Independientes Por La Nueva Constitucion (D14),Independent,IND,0,0,0,0,15734,5.19,5,15734,5.19,36865,42.68004883,26.12,27.98,54.1,23.68403608,1,1,0,1680,672,1,364602,341205375,0,-0.406361133,-0.474254847,2.968194336,2.628725767,-0.530166984,0.229836434,2.349165082,6.149182171
711,Convencionales Constituyentes,1,Metropolitana,5.5,#D14 - San Bernardo,14,XP4,1,0.756260157,0.531204641,8.781300783,7.656023204,Claudia Mabel Castro Gutierrez,1,52,Diseñadora,Vamos Por Chile,Vamos por Chile,UDI-IND,0,0,0,0,3758,1.24,5,3758,1.24,51787,7.256647421,26.12,27.98,54.1,23.68403608,0,1,1,1680,672,1,5000000,341205375,0,0.643816471,0.480196685,8.219082355,7.400983423,0.813627601,-0.266792148,9.068138003,3.666039258
457,Convencionales Constituyentes,1,Metropolitana,5.5,#D9 - Recoleta,9,56,1,-0.092994653,0.376510173,4.535026737,6.882550865,Rodrigo Logan Soto,0,41,Abogado,Independientes,Independent,IFP,0,0,0,0,34781,10.97,6,34781,10.97,34781,100,20.74,32.87,53.61,33.33283468,1,1,0,2036,815,1,2996056,381772286,0,0.060580943,0.27974838,5.302904714,6.398741901,-0.138319939,0.897138357,4.308400303,9.485691786
73,Convencionales Constituyentes,1,Tarapacá,1,#D2 - Iquique,2,YQ35,1,-0.852442026,0.312769085,0.737789869,6.563845426,Hugo Humberto Gutierrez Galvez,0,59,Abogado,Apruebo Dignidad,Apruebo Dignidad - PC,PC,1,0,0,0,6773,8.61,3,6773,8.61,18640,36.33583691,30.48,18.3,48.78,23.32244812,1,1,0,500,300,2,23000000,129511839,0,-0.876543581,0.281131774,0.617282093,6.405658871,-0.818189442,0.203369722,0.909052789,6.016848609
99,Convencionales Constituyentes,1,Antofagasta,2,#D3 - Antofagasta,3,YQ18,1,-0.853515208,0.28647539,0.732423961,6.432376951,Hernan Jesus Velasquez Nuñez,0,55,Sociólogo,Apruebo Dignidad,Apruebo Dignidad - PC,FRVS,1,0,0,1,3946,2.54,4,3946,2.54,22924,17.2134008,20.99,20.59,41.58,25.16230036,0,1,1,900,360,2,4000000,222673238,0,-0.850551128,0.184953973,0.747244358,5.924769863,-0.835293174,0.177275375,0.823534131,5.886376873
885,Convencionales Constituyentes,1,Maule,7,#D18 - Linares,18,ZD18,1,-0.809883237,0.195703745,0.950583816,5.978518724,Francisca Marycarmen Arauna Urrutia,1,30,Abogada,La Lista Del Pueblo Maule Sur (D18),Lista del Pueblo,IND,0,0,0,1,11776,10.57,4,11776,10.57,35869,32.83057794,37.54,17.37,54.91,14.38210144,1,1,0,680,300,2,594177,149696465,1,-0.838926077,0.414478958,0.805369616,7.072394788,-0.766872525,0.051325656,1.165637374,5.256628282
802,Convencionales Constituyentes,1,O'Higgins,6,#D16 - San Fernando,16,YQ23,1,-0.781089604,0.25681448,1.09455198,6.284072399,Nicolas Fernando Nuñez Gangas,0,33,Abogado,Apruebo Dignidad,Apruebo Dignidad - PC,FRVS,1,0,0,0,10771,7.59,4,10771,7.59,27334,39.40513646,26.15,22.23,48.38,17.66580919,1,1,0,749,300,2,3500000,159350393,0,-0.822329938,0.265188664,0.888350308,6.325943321,-0.738436282,0.077641927,1.307818592,5.388209634
793,Convencionales Constituyentes,1,O'Higgins,6,#D16 - San Fernando,16,YB14,1,-0.535627246,-0.459204555,2.32186377,2.703977227,Adriana Cancino Meneses,1,58,Profesora,Lista Del Apruebo,Lista del Apruebo,PS-IND,0,0,0,0,3731,2.63,4,3731,2.63,21084,17.69588313,26.15,22.23,48.38,17.66580919,0,1,1,749,300,2,5000000,159350393,0,-0.408978224,-0.637450755,2.955108881,1.812746227,-0.546034515,-0.060501713,2.269827425,4.697491433
138,Convencionales Constituyentes,1,Atacama,3,#D4 - Copiapó,4,YB15,1,-0.275121778,-0.96140939,3.624391109,0.19295305,Maximiliano Hurtado Roco,0,36,Asesor legislativo,Lista Del Apruebo,Lista del Apruebo,PS ,1,0,0,0,3084,3.75,4,3084,3.75,12002,25.69571738,17.93,19.25,37.18,29.96488368,1,1,0,504,300,2,5000000,122959329,0,-0.250632107,-0.968082428,3.746839464,0.15958786,-0.302974761,-0.552248657,3.485126197,2.238756716
89,Convencionales Constituyentes,1,Antofagasta,2,#D3 - Antofagasta,3,XP8,1,0.758690238,0.542648315,8.79345119,7.713241577,Pablo Antonio Toloza Fernandez,0,49,Abogado,Vamos Por Chile,Vamos por Chile,UDI,1,0,0,0,5443,3.5,4,5443,3.5,21247,25.61773427,20.99,20.59,41.58,25.16230036,1,1,0,900,360,2,6000000,222673238,0,0.68982625,0.549736917,8.44913125,7.748684585,0.78916961,-0.129726097,8.945848048,4.351369515
762,Convencionales Constituyentes,1,O'Higgins,6,#D15 - Rancagua,15,YP24,1,-0.806947112,0.171119675,0.96526444,5.855598375,Loreto Cristina Vallejos Davila,1,41,,La Lista Del Pueblo 100% Independientes (D15),Lista del Pueblo,IND,0,0,0,1,17061,9.42,5,17061,9.42,35120,48.57915718,24.87,25.51,50.38,19.38858237,1,1,0,1019,408,2,285000,207308257,1,-0.879651427,0.342630506,0.601742864,6.713152528,-0.73570174,0.16300638,1.321491301,5.815031901
402,Convencionales Constituyentes,1,Metropolitana,5.5,#D9 - Recoleta,9,N1,1,-0.906716943,0.421739668,0.466415286,7.108698338,Alejandra Pia Perez Espina,1,43,Dueña de Casa,La Lista Del Pueblo Distrito 9 (D9),Lista del Pueblo,IND,0,0,0,0,18002,5.68,6,18002,5.68,74163,24.27355959,20.74,32.87,53.61,33.33283468,1,1,0,1889,756,2,346535,381772286,1,-0.867201269,0.392004192,0.663993657,6.960020959,-0.95431459,0.298803657,0.228427052,6.494018286
852,Convencionales Constituyentes,1,Maule,7,#D17 - Talca,17,YQ38,1,-0.859824359,0.265508294,0.700878203,6.327541471,Paola Alejandra Grandon Gonzalez,1,47,Activista,Apruebo Dignidad,Apruebo Dignidad - PC,FRVS,1,0,0,1,1188,0.52,7,1188,0.52,46974,2.529058628,28.63,20.6,49.23,17.61074547,1,1,0,1369,548,2,1000000,265633177,0,-0.863247633,0.240007803,0.683761835,6.200039014,-0.835640788,0.199402109,0.82179606,5.997010544
