dataverse,article,date,year,journal
AJPS,At Any Cost: How Ukrainians Think about Self-Defense Against Russia,24/08/2023,2023,ajps
AJPS,Does Public Support Help Democracy Survive?,27/07/2023,2023,ajps
AJPS,Damaged Relations: How Treaty Withdrawal Impacts International Cooperation,27/07/2023,2023,ajps
AJPS,"The Political Consequences of Depression: How Conspiracy Beliefs, Participatory Inclinations, and Depression Relate to Support for Political Violence",20/07/2023,2023,ajps
AJPS,The Necessity of Moving Averages in Dynamic Linear Regression Models,18/07/2023,2023,ajps
AJPS,"Making Global Governance Accountable: Civil Society, States, and the Politics of Reform",13/07/2023,2023,ajps
AJPS,"Presidential Cues and the Nationalization of Congressional Rhetoric, 1973-2016",11/07/2023,2023,ajps
AJPS,"Divided Government, Strategic Substitution, and Presidential Unilateralism",10/07/2023,2023,ajps
AJPS,Placebo Tests For Causal Inference,06/07/2023,2023,ajps
AJPS,A Meta-Analytic Assessment of the Effects of Emotions on Political Information Search and Decision Making,06/07/2023,2023,ajps
AJPS,Religious Mobilization and the Selection of Political Elites: Evidence from Postwar Italy,06/07/2023,2023,ajps
AJPS,"Electoral Discrimination, Party Rationale, and the Underrepresentation of Immigrant-Origin Politicians",19/06/2023,2023,ajps
AJPS,No Evidence that Measuring Moderators Alters Treatment Effects,16/06/2023,2023,ajps
AJPS,The Personal Vote in a Polarized Era,16/06/2023,2023,ajps
AJPS,Does Democracy Reduce Ethnic Inequality?,12/06/2023,2023,ajps
AJPS,"A Costly Commitment: Populism, Economic Performance, and the Quality of Bureaucracy",12/06/2023,2023,ajps
AJPS,Bilateral Conflict: An Experimental Study of Strategic Effectiveness and Equilibrium,12/06/2023,2023,ajps
AJPS,Where Motivated Reasoning Withers and Looms Large: Fear and Partisan Reactions to the COVID-19 Pandemic,30/05/2023,2023,ajps
AJPS,Do Politicians in Power Receive Special Treatment in Courts? Evidence from India,22/05/2023,2023,ajps
AJPS,"Causal Effects, Migration and Legacy Studies",17/05/2023,2023,ajps
AJPS,Critical Junctures: Independence Movements and Democracy in Africa,09/05/2023,2023,ajps
